index_name	cond_name
GSM2570302	S0-1
GSM2570303	S0-2
GSM2570304	S0-3
GSM2570305	S5C-1
GSM2570306	S10C-1
GSM2570307	S15C-1
GSM2570308	S20C-1
GSM2570309	S30C-1
GSM2570310	S45C-1
GSM2570311	S60C-1
GSM2570312	S90C-1
GSM2570313	S120C-1
GSM2570314	S5C-2
GSM2570315	S10C-2
GSM2570316	S15C-2
GSM2570317	S20C-2
GSM2570318	S30C-2
GSM2570319	S45C-2
GSM2570320	S60C-2
GSM2570321	S90C-2
GSM2570322	S120C-2
GSM2570323	S5C-3
GSM2570324	S10C-3
GSM2570325	S15C-3
GSM2570326	S20C-3
GSM2570327	S30C-3
GSM2570328	S45C-3
GSM2570329	S60C-3
GSM2570330	S90C-3
GSM2570331	S120C-3
GSM2570332	S5N-1
GSM2570333	S10N-1
GSM2570334	S15N-1
GSM2570335	S20N-1
GSM2570336	S30N-1
GSM2570337	S45N-1
GSM2570338	S60N-1
GSM2570339	S90N-1
GSM2570340	S120N-1
GSM2570341	S5N-2
GSM2570342	S10N-2
GSM2570343	S15N-2
GSM2570344	S20N-2
GSM2570345	S30N-2
GSM2570346	S45N-2
GSM2570347	S60N-2
GSM2570348	S90N-2
GSM2570349	S120N-2
GSM2570350	S5N-3
GSM2570351	S10N-3
GSM2570352	S15N-3
GSM2570353	S20N-3
GSM2570354	S30N-3
GSM2570355	S45N-3
GSM2570356	S60N-3
GSM2570357	S90N-3
GSM2570358	S120N-3
GSM2570359	R0-1
GSM2570360	R0-2
GSM2570361	R0-3
GSM2570362	R5C-1
GSM2570363	R10C-1
GSM2570364	R15C-1
GSM2570365	R20C-1
GSM2570366	R30C-1
GSM2570367	R45C-1
GSM2570368	R60C-1
GSM2570369	R90C-1
GSM2570370	R120C-1
GSM2570371	R5C-2
GSM2570372	R10C-2
GSM2570373	R15C-2
GSM2570374	R20C-2
GSM2570375	R30C-2
GSM2570376	R45C-2
GSM2570377	R60C-2
GSM2570378	R90C-2
GSM2570379	R120C-2
GSM2570380	R5C-3
GSM2570381	R10C-3
GSM2570382	R15C-3
GSM2570383	R20C-3
GSM2570384	R30C-3
GSM2570385	R45C-3
GSM2570386	R60C-3
GSM2570387	R90C-3
GSM2570388	R120C-3
GSM2570389	R5N-1
GSM2570390	R10N-1
GSM2570391	R15N-1
GSM2570392	R20N-1
GSM2570393	R30N-1
GSM2570394	R45N-1
GSM2570395	R60N-1
GSM2570396	R90N-1
GSM2570397	R120N-1
GSM2570398	R5N-2
GSM2570399	R10N-2
GSM2570400	R15N-2
GSM2570401	R20N-2
GSM2570402	R30N-2
GSM2570403	R45N-2
GSM2570404	R60N-2
GSM2570405	R90N-2
GSM2570406	R120N-2
GSM2570407	R5N-3
GSM2570408	R10N-3
GSM2570409	R15N-3
GSM2570410	R20N-3
GSM2570411	R30N-3
GSM2570412	R45N-3
GSM2570413	R60N-3
GSM2570414	R90N-3
GSM2570415	R120N-3
