"","genes","cluster"
"AT1G01620","AT1G01620",1
"AT1G01060","AT1G01060",1
"AT1G02640","AT1G02640",1
"AT1G15670","AT1G15670",1
"AT1G22190","AT1G22190",1
"AT1G63410","AT1G63410",1
"AT5G03555","AT5G03555",1
"AT5G06980","AT5G06980",1
"AT5G17300","AT5G17300",1
"AT5G18670","AT5G18670",1
"AT5G39660","AT5G39660",1
"AT5G56550","AT5G56550",1
"AT5G64570","AT5G64570",1
"AT3G09600","AT3G09600",1
"AT3G12320","AT3G12320",1
"AT3G15356","AT3G15356",1
"AT3G53420","AT3G53420",1
"AT3G54500","AT3G54500",1
"AT2G06850","AT2G06850",1
"AT2G31380","AT2G31380",1
"AT2G37180","AT2G37180",1
"AT2G46830","AT2G46830",1
"AT4G15430","AT4G15430",1
"AT4G30460","AT4G30460",1
"AT1G13600","AT1G13600",1
"AT5G28080","AT5G28080",2
"AT5G05410","AT5G05410",2
"AT1G11210","AT1G11210",2
"AT1G10760","AT1G10760",2
"AT1G13930","AT1G13930",2
"AT1G17665","AT1G17665",2
"AT1G22070","AT1G22070",2
"AT1G22770","AT1G22770",2
"AT1G27020","AT1G27020",2
"AT1G27630","AT1G27630",2
"AT1G28050","AT1G28050",2
"AT1G28060","AT1G28060",2
"AT1G49720","AT1G49720",2
"AT1G54570","AT1G54570",2
"AT1G56300","AT1G56300",2
"AT1G60680","AT1G60680",2
"AT1G64890","AT1G64890",2
"AT1G68050","AT1G68050",2
"AT1G77380","AT1G77380",2
"AT1G78600","AT1G78600",2
"AT5G12270","AT5G12270",2
"AT5G12300","AT5G12300",2
"AT5G23575","AT5G23575",2
"AT5G24470","AT5G24470",2
"AT5G26340","AT5G26340",2
"AT5G26570","AT5G26570",2
"AT5G42900","AT5G42900",2
"AT5G48250","AT5G48250",2
"AT5G54960","AT5G54960",2
"AT5G61380","AT5G61380",2
"AT3G07650","AT3G07650",2
"AT3G20810","AT3G20810",2
"AT3G22830","AT3G22830",2
"AT3G27300","AT3G27300",2
"AT3G46970","AT3G46970",2
"AT2G01170","AT2G01170",2
"AT2G02100","AT2G02100",2
"AT2G02120","AT2G02120",2
"AT2G02570","AT2G02570",2
"AT2G15620","AT2G15620",2
"AT2G16365","AT2G16365",2
"AT2G19450","AT2G19450",2
"AT2G21130","AT2G21130",2
"AT2G21660","AT2G21660",2
"AT2G22450","AT2G22450",2
"AT2G22590","AT2G22590",2
"AT2G23030","AT2G23030",2
"AT2G29490","AT2G29490",2
"AT2G31360","AT2G31360",2
"AT2G36390","AT2G36390",2
"AT2G38465","AT2G38465",2
"AT2G40080","AT2G40080",2
"AT2G40340","AT2G40340",2
"AT2G40840","AT2G40840",2
"AT4G14580","AT4G14580",2
"AT4G16146","AT4G16146",2
"AT4G20890","AT4G20890",2
"AT4G26670","AT4G26670",2
"AT4G27560","AT4G27560",2
"AT4G30650","AT4G30650",2
"AT4G33980","AT4G33980",2
"AT4G37320","AT4G37320",2
"AT4G39090","AT4G39090",2
"AT4G39260","AT4G39260",2
"AT3G28510","AT3G28510",2
"AT5G60100","AT5G60100",2
"AT3G47480","AT3G47480",2
