YDL184C;RPL41A;Aro80p;Doc
YDL184C;RPL41A;Gln3p;Doc
YDL184C;RPL41A;Yap1p;Doc
YDL184C;RPL41A;Pdr3p;Doc
YDL184C;RPL41A;Leu3p;Doc
YDL184C;RPL41A;Rpn4p;Doc
YDL184C;RPL41A;Pdr1p;Doc
YDL184C;RPL41A;Gcn4p;Doc
YDL184C;RPL41A;Met28p;Doc
YDL184C;RPL41A;Gcr1p;Doc
YDL184C;RPL41A;Haa1p;Doc
YDL184C;RPL41A;Cad1p;Doc
YDL184C;RPL41A;Hap2p;Doc
YDL184C;RPL41A;Mal13p;Doc
YDL184C;RPL41A;Ace2p;Doc
YDL184C;RPL41A;Cin5p;Doc
YDL184C;RPL41A;Cup9p;Doc
YDL184C;RPL41A;Gal4p;Doc
YDL184C;RPL41A;Hap5p;Doc
YDL184C;RPL41A;Hms1p;Doc
YDL184C;RPL41A;Kar4p;Doc
YDL184C;RPL41A;Phd1p;Doc
YDL184C;RPL41A;Pip2p;Doc
YDL184C;RPL41A;Put3p;Doc
YDL184C;RPL41A;Rds2p;Doc
YDL184C;RPL41A;Rgt1p;Doc
YDL184C;RPL41A;Skn7p;Doc
YDL184C;RPL41A;Spt3p;Doc
YDL184C;RPL41A;Stb5p;Doc
YDL184C;RPL41A;Swi5p;Doc
YDL184C;RPL41A;Thi2p;Doc
YDL184C;RPL41A;Tye7p;Doc
YDL184C;RPL41A;Yap3p;Doc
YDL184C;RPL41A;Yap7p;Doc
